1/1/2007	34	23
1/2/2007	34	22
1/3/2007	40	24
1/4/2007	47	25
1/5/2007	29	12
1/6/2007	34	11
1/7/2007	32	11
1/8/2007	40	27
1/9/2007	38	22
1/10/2007	47	20
1/11/2007	45	19
1/12/2007	20	9
1/13/2007	18	1
1/14/2007	18	-1
1/15/2007	19	4
1/16/2007	20	4
1/17/2007	26	4
1/18/2007	25	3
1/19/2007	25	7
1/20/2007	26	10
1/21/2007	27	9
1/22/2007	29	8
1/23/2007	30	11
1/24/2007	32	7
1/25/2007	30	7
1/26/2007	28	7
1/27/2007	30	8
1/28/2007	32	6
1/29/2007	31	5
1/30/2007	36	15
1/31/2007	32	12
2/1/2007	26	17
2/2/2007	33	15
2/3/2007	43	18
2/4/2007	47	21
2/5/2007	47	26
2/6/2007	50	26
2/7/2007	49	25
2/8/2007	56	37
2/9/2007	52	35
2/10/2007	58	37
2/11/2007	48	36
2/12/2007	47	32
2/13/2007	45	29
2/14/2007	42	25
2/15/2007	38	32
2/16/2007	52	32
2/17/2007	52	26
2/18/2007	60	29
2/19/2007	43	27
2/20/2007	43	25
2/21/2007	57	36
2/22/2007	61	43
2/23/2007	51	26
2/24/2007	35	23
2/25/2007	38	30
2/26/2007	41	29
2/27/2007	41	21
2/28/2007	34	15
3/1/2007	33	24
3/2/2007	31	19
3/3/2007	36	16
3/4/2007	45	23
3/5/2007	50	28
3/6/2007	54	28
3/7/2007	62	33
3/8/2007	55	38
3/9/2007	59	35
3/10/2007	51	37
3/11/2007	56	31
3/12/2007	65	36
3/13/2007	70	41
3/14/2007	68	42
3/15/2007	59	35
3/16/2007	70	38
3/17/2007	74	39
3/18/2007	71	42
3/19/2007	69	41
3/20/2007	67	45
3/21/2007	54	42
3/22/2007	56	39
3/23/2007	60	36
3/24/2007	63	39
3/25/2007	71	43
3/26/2007	71	44
3/27/2007	63	35
3/28/2007	40	33
3/29/2007	46	35
3/30/2007	49	33
3/31/2007	61	40
4/1/2007	63	48
4/2/2007	58	38
4/3/2007	59	35
4/4/2007	66	40
4/5/2007	67	44
4/6/2007	69	41
4/7/2007	70	44
4/8/2007	60	46
4/9/2007	63	41
4/10/2007	50	33
4/11/2007	49	26
4/12/2007	56	36
4/13/2007	58	32
4/14/2007	69	37
4/15/2007	68	45
4/16/2007	65	43
4/17/2007	72	46
4/18/2007	65	33
4/19/2007	50	34
4/20/2007	49	40
4/21/2007	58	40
4/22/2007	55	41
4/23/2007	58	37
4/24/2007	64	40
4/25/2007	70	43
4/26/2007	67	50
4/27/2007	71	42
4/28/2007	81	46
4/29/2007	89	53
4/30/2007	82	57
5/1/2007	87	50
5/2/2007	82	58
5/3/2007	57	38
5/4/2007	52	39
5/5/2007	48	40
5/6/2007	62	42
5/7/2007	68	40
5/8/2007	76	45
5/9/2007	82	49
5/10/2007	88	55
5/11/2007	91	57
5/12/2007	90	64
5/13/2007	84	56
5/14/2007	73	50
5/15/2007	79	41
5/16/2007	86	50
5/17/2007	87	65
5/18/2007	89	64
5/19/2007	90	62
5/20/2007	88	52
5/21/2007	67	37
5/22/2007	57	34
5/23/2007	63	39
5/24/2007	72	46
5/25/2007	80	53
5/26/2007	85	56
5/27/2007	90	59
5/28/2007	79	46
5/29/2007	69	44
5/30/2007	76	45
5/31/2007	80	51
6/1/2007	84	54
6/2/2007	89	57
6/3/2007	92	61
6/4/2007	92	61
6/5/2007	89	61
6/6/2007	61	46
6/7/2007	54	42
6/8/2007	71	45
6/9/2007	81	49
