1/1/2008	23	9
1/2/2008	26	6
1/3/2008	27	8
1/4/2008	51	19
1/5/2008	48	27
1/6/2008	37	21
1/7/2008	30	15
1/8/2008	39	16
1/9/2008	39	16
1/10/2008	34	16
1/11/2008	39	27
1/12/2008	38	28
1/13/2008	34	17
1/14/2008	33	12
1/15/2008	31	13
1/16/2008	20	7
1/17/2008	24	10
1/18/2008	28	17
1/19/2008	35	22
1/20/2008	35	23
1/21/2008	30	9
1/22/2008	19	-2
1/23/2008	19	2
1/24/2008	23	5
1/25/2008	30	8
1/26/2008	38	8
1/27/2008	45	32
1/28/2008	43	22
1/29/2008	28	17
1/30/2008	28	21
1/31/2008	36	18
2/1/2008	36	18
2/2/2008	31	16
2/3/2008	39	29
2/4/2008	31	16
2/5/2008	27	7
2/6/2008	31	20
2/7/2008	42	23
2/8/2008	40	24
2/9/2008	45	31
2/10/2008	49	29
2/11/2008	47	30
2/12/2008	48	32
2/13/2008	43	27
2/14/2008	35	18
2/15/2008	31	15
2/16/2008	37	18
2/17/2008	37	22
2/18/2008	41	22
2/19/2008	42	22
2/20/2008	39	23
2/21/2008	42	30
2/22/2008	43	30
2/23/2008	44	31
2/24/2008	54	33
2/25/2008	47	33
2/26/2008	49	29
2/27/2008	52	28
2/28/2008	51	30
3/1/2008	61	28
3/2/2008	39	25
3/3/2008	43	24
3/4/2008	41	27
3/5/2008	40	24
3/6/2008	43	25
3/7/2008	50	27
3/8/2008	48	33
3/9/2008	49	28
3/10/2008	54	30
3/11/2008	60	34
3/12/2008	54	36
3/13/2008	55	40
3/14/2008	47	33
3/15/2008	42	29
3/16/2008	44	29
3/17/2008	46	27
3/18/2008	54	35
3/19/2008	64	41
3/20/2008	57	33
3/21/2008	51	33
3/22/2008	47	26
3/23/2008	58	27
3/24/2008	63	35
3/25/2008	65	43
3/26/2008	61	37
3/27/2008	41	28
3/28/2008	53	25
3/29/2008	51	33
3/30/2008	38	31
3/31/2008	38	21
4/1/2008	45	24
4/2/2008	50	35
4/3/2008	49	34
4/4/2008	59	31
4/5/2008	51	33
4/6/2008	55	33
4/7/2008	49	34
4/8/2008	52	30
4/9/2008	46	29
4/10/2008	48	27
4/11/2008	49	29
4/12/2008	58	31
4/13/2008	69	36
4/14/2008	81	45
4/15/2008	70	33
4/16/2008	45	29
4/17/2008	54	28
4/18/2008	72	40
4/19/2008	76	55
4/20/2008	58	29
4/21/2008	51	27
4/22/2008	63	36
4/23/2008	60	43
4/24/2008	49	33
4/25/2008	58	33
4/26/2008	54	31
4/27/2008	64	33
4/28/2008	77	41
4/29/2008	80	53
4/30/2008	53	34
5/1/2008	48	31
5/2/2008	56	31
5/3/2008	65	36
5/4/2008	72	40
5/5/2008	77	45
5/6/2008	76	47
5/7/2008	62	48
5/8/2008	63	45
5/9/2008	62	41
5/10/2008	63	33
5/11/2008	77	45
5/12/2008	55	37
5/13/2008	62	34
5/14/2008	67	50
5/15/2008	74	53
5/16/2008	78	47
5/17/2008	84	50
5/18/2008	90	56
5/19/2008	89	58
5/20/2008	93	58
5/21/2008	62	45
5/22/2008	53	41
5/23/2008	62	42
5/24/2008	67	44
5/25/2008	69	50
5/26/2008	60	48
5/27/2008	73	51
5/28/2008	77	51
5/29/2008	69	50
5/30/2008	74	46
5/31/2008	82	45
6/1/2008	87	53
6/2/2008	79	52
6/3/2008	74	52
6/4/2008	57	48
6/5/2008	66	48
6/6/2008	66	52
6/7/2008	64	47
6/8/2008	68	42
6/9/2008	81	47
6/10/2008	70	45
6/11/2008	64	42
6/12/2008	69	42
6/13/2008	80	48
6/14/2008	90	56
6/15/2008	89	56
6/16/2008	92	59
6/17/2008	96	63
6/18/2008	90	62
6/19/2008	87	59
6/20/2008	91	59
6/21/2008	98	64
6/22/2008	91	67
6/23/2008	92	68
6/24/2008	94	66
6/25/2008	97	70
6/26/2008	95	68
6/27/2008	88	62
6/28/2008	94	61
6/29/2008	99	65
6/30/2008	97	67
7/1/2008	98	73
7/2/2008	94	68
7/3/2008	101	65
7/4/2008	102	77
7/5/2008	96	67
7/6/2008	89	71
7/7/2008	91	65
7/8/2008	91	62
7/9/2008	94	61
7/10/2008	98	63
7/11/2008	89	65
7/12/2008	92	60
7/13/2008	94	59
7/14/2008	93	61
7/15/2008	97	63
7/16/2008	91	74
7/17/2008	95	68
7/18/2008	97	70
7/19/2008	97	64
7/20/2008	98	72
7/21/2008	88	71
7/22/2008	93	66
7/23/2008	94	67
7/24/2008	99	69
7/25/2008	102	72
7/26/2008	101	77
7/27/2008	97	71
7/28/2008	94	67
7/29/2008	98	69
7/30/2008	95	71
7/31/2008	96	64
8/1/2008	103	74
8/2/2008	98	68
8/3/2008	97	66
8/4/2008	98	66
8/5/2008	88	70
8/6/2008	94	68
8/7/2008	92	73
8/8/2008	89	70
8/9/2008	92	71
8/10/2008	92	64
8/11/2008	85	60
8/12/2008	92	60
8/13/2008	95	62
8/14/2008	92	63
